실험 번호,Epoch,Batch Size,Dropout Rate,Learning Rate,L2 Norm,Hidden Dim,Num Layers,Train Loss (Best),Test Loss (Best),Train Acc (Best),Test Acc (Best)
1,40,32,0.1,0.001,1e-05,64,1,0.7562 (ep:40),1.1031 (ep:4),0.6547 (ep:39),0.4269 (ep:12)
2,40,32,0.1,0.001,1e-05,64,2,0.6935 (ep:40),1.0875 (ep:8),0.6745 (ep:38),0.4301 (ep:8)
3,40,32,0.1,0.001,1e-05,128,1,1.0134 (ep:20),1.0860 (ep:22),0.4972 (ep:40),0.4343 (ep:40)
4,40,32,0.1,0.001,1e-05,128,2,0.8271 (ep:34),1.1037 (ep:36),0.6216 (ep:33),0.4164 (ep:37)
5,40,32,0.1,0.001,0.0,64,1,0.8070 (ep:40),1.0977 (ep:3),0.6384 (ep:40),0.4238 (ep:7)
6,40,32,0.1,0.001,0.0,64,2,0.6306 (ep:40),1.0830 (ep:2),0.7213 (ep:40),0.4185 (ep:2)
7,40,32,0.1,0.001,0.0,128,1,0.7565 (ep:38),1.1107 (ep:13),0.6579 (ep:40),0.4217 (ep:13)
8,40,32,0.1,0.001,0.0,128,2,0.8507 (ep:39),1.0802 (ep:10),0.5916 (ep:40),0.4406 (ep:5)
9,40,32,0.1,0.0005,1e-05,64,1,0.8957 (ep:39),1.0814 (ep:2),0.5727 (ep:39),0.4290 (ep:2)
10,40,32,0.1,0.0005,1e-05,64,2,0.8539 (ep:40),1.0959 (ep:1),0.6090 (ep:40),0.4311 (ep:6)
11,40,32,0.1,0.0005,1e-05,128,1,0.8350 (ep:40),1.1006 (ep:13),0.6037 (ep:40),0.4248 (ep:13)
12,40,32,0.1,0.0005,1e-05,128,2,0.8431 (ep:40),1.0781 (ep:2),0.5985 (ep:39),0.4069 (ep:2)
13,40,32,0.1,0.0005,0.0,64,1,0.8896 (ep:40),1.0842 (ep:4),0.5735 (ep:39),0.4280 (ep:6)
14,40,32,0.1,0.0005,0.0,64,2,0.8243 (ep:40),1.0832 (ep:5),0.6185 (ep:40),0.4227 (ep:5)
15,40,32,0.1,0.0005,0.0,128,1,0.8530 (ep:39),1.1051 (ep:8),0.5948 (ep:39),0.4217 (ep:13)
16,40,32,0.1,0.0005,0.0,128,2,0.9215 (ep:29),1.0952 (ep:33),0.5590 (ep:29),0.4154 (ep:12)
17,40,32,0.3,0.001,1e-05,64,1,0.8294 (ep:40),1.1028 (ep:3),0.6195 (ep:40),0.3954 (ep:26)
18,40,32,0.3,0.001,1e-05,64,2,0.7140 (ep:40),1.0981 (ep:4),0.6803 (ep:40),0.4154 (ep:11)
